"clube","cartao","atleta"
"Chapecoense","Amarelo","Bruno César Pereira da Silva"
"Bahia","Amarelo","Rafael Miranda"
"Bahia","Amarelo","Roniery"
"Chapecoense","Amarelo","Bérgson Gustavo Silveira da Silva"
"Chapecoense","Amarelo","Neuton"
"Bahia","Amarelo","Anderson Talisca"
"Flamengo","Amarelo","Luiz Antônio de Souza Soares"
"Santos","Amarelo","Neuciano Gusmão"
"Criciuma","Amarelo","João Vitor Lima Gomes"
"Criciuma","Amarelo","Rodrigo Souza"
"Santos","Amarelo","Aranha"
"Criciuma","Amarelo","Lucca Borges de Brito"
"Criciuma","Amarelo","Sergio Escudero"
"Fluminense","Amarelo","Bruno Vieira"
"Internacional","Amarelo","Wellington Aparecido Martins"
"Internacional","Amarelo","Wellington Paulista"
"Fluminense","Amarelo","Diguinho"
"Internacional","Amarelo","Cláudio Winck"
"Figueirense","Amarelo","Rogisvaldo João dos Santos"
"Figueirense","Amarelo","Marcos Roberto da Silva Barbosa"
"Athletico-PR","Amarelo","Douglas Coutinho"
"Athletico-PR","Amarelo","Deivid Willian da Silva"
"Figueirense","Amarelo","Thiago Heleno"
"Figueirense","Amarelo","Vítor Júnior"
"Athletico-PR","Amarelo","Natanael Batista Pimenta"
"Athletico-PR","Amarelo","Léo Pereira"
"Botafogo-RJ","Amarelo","Edílson Mendes Guimarães"
"Botafogo-RJ","Amarelo","Juan Carlos Ferreyra"
"Botafogo-RJ","Amarelo","Airton Ribeiro Santos"
"Bahia","Vermelho","Roniery"
"Sport","Amarelo","Aílton"
"Sport","Amarelo","Patric Cabral Lalau"
"Sport","Amarelo","Rithely"
"Bahia","Amarelo","Fahel"
"Bahia","Amarelo","Roniery"
"Bahia","Vermelho","Marcelo Lomba"
"Sport","Amarelo","José Mário de Bona"
"Sport","Amarelo","Magrão"
"Sport","Amarelo","Durval"
"Bahia","Amarelo","Marcelo Lomba"
"Bahia","Amarelo","Anderson Talisca"
"Goias","Amarelo","Alex Alves Cardoso"
"Goias","Amarelo","Valmir Lucas"
"Gremio","Amarelo","Luan Guilherme de Jesus Vieira"
"Goias","Amarelo","Ramón Rodrigo de Freitas"
"Goias","Amarelo","Assuério Barbosa De Sousa"
"Botafogo-RJ","Amarelo","Gabriel Girotto Franco"
"Sport","Amarelo","Rithely"
"Botafogo-RJ","Amarelo","Lucas Rios Marques"
"Coritiba","Amarelo","Leandro Almeida"
"Figueirense","Amarelo","Dener Gonçalves Pinheiro"
"Figueirense","Amarelo","Luan José Niedzielski"
"Flamengo","Amarelo","Elano"
"Athletico-PR","Amarelo","Lucas Olaza"
"Athletico-PR","Amarelo","João Paulo Silva"
"Athletico-PR","Amarelo","Douglas Coutinho"
"Bahia","Amarelo","Guilherme Oliveira Santos"
"Bahia","Amarelo","Fahel"
